Location,BHK,Furnishing,Sq.ft,Old(years),Floor,Price
Whitefield,3,0,2491.5,1,1.0,40250.0
Whitefield,2,1,1245.0,5,1.0,25000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Bommanahalli,2,0,1050.0,10,2.0,18000.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Bommanahalli,2,1,1200.0,5,4.0,19000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Whitefield,2,0,1088.0,5,1.0,14000.0
Whitefield,2,0,1290.0,1,6.0,26000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Bommanahalli,2,0,1251.0,5,3.0,19500.0
Bommanahalli,2,1,767.0,1,3.0,16000.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Bommanahalli,2,1,1200.0,5,4.0,19000.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Whitefield,2,1,1200.0,5,1.0,20000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Whitefield,2,0,1326.0,1,3.0,21000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Bommanahalli,2,1,1200.0,5,4.0,19000.0
Whitefield,3,0,2491.5,1,1.0,40250.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Whitefield,3,0,2100.0,1,6.0,28000.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Bommanahalli,2,0,1251.0,5,3.0,19500.0
Whitefield,3,1,1768.0,5,6.0,30000.0
Whitefield,2,0,1060.0,5,1.0,16000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Whitefield,3,0,1675.0,1,4.0,26000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Whitefield,2,0,1060.0,5,1.0,16000.0
Whitefield,2,0,1060.0,1,1.0,17000.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Whitefield,2,0,1290.0,1,6.0,26000.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Whitefield,2,0,1333.0,1,3.0,26000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Bommanahalli,3,0,1375.0,5,3.0,19000.0
Whitefield,2,1,1200.0,5,1.0,20000.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Whitefield,2,1,1600.0,5,4.0,24000.0
Bommanahalli,3,0,1744.0,1,2.0,22000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Whitefield,3,1,1760.0,5,6.0,39500.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Whitefield,3,0,1704.0,5,6.0,35000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Whitefield,3,0,2491.5,1,1.0,40250.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Whitefield,2,0,1568.0,1,3.0,28000.0
Whitefield,2,0,1333.0,1,3.0,26000.0
Whitefield,2,1,1245.0,5,1.0,25000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Bommanahalli,3,0,1744.0,1,2.0,22000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Whitefield,3,0,1704.0,5,6.0,35000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Whitefield,3,0,1600.0,1,6.0,27000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Whitefield,2,0,1333.0,1,3.0,26000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Whitefield,2,0,1060.0,1,1.0,17000.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Bommanahalli,2,0,1400.0,5,2.0,22000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,2,1,767.0,1,3.0,16000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Bommanahalli,2,0,1400.0,5,2.0,22000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Whitefield,2,0,1333.0,1,3.0,26000.0
Bommanahalli,2,0,1251.0,5,3.0,19500.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Whitefield,3,1,1760.0,5,6.0,39500.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Bommanahalli,2,1,1200.0,5,4.0,19000.0
Bommanahalli,2,0,1400.0,5,2.0,22000.0
Whitefield,2,1,1245.0,5,1.0,25000.0
Whitefield,3,0,1704.0,5,6.0,35000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Bommanahalli,3,0,1744.0,1,2.0,22000.0
Bommanahalli,2,0,1400.0,5,2.0,22000.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Whitefield,3,1,1760.0,5,6.0,39500.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Whitefield,2,0,1060.0,5,1.0,16000.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Whitefield,2,0,1290.0,1,6.0,26000.0
Whitefield,3,1,1760.0,5,6.0,39500.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Bommanahalli,3,1,1250.0,1,1.0,20000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Whitefield,3,0,2100.0,1,6.0,28000.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Bommanahalli,2,1,767.0,1,3.0,16000.0
Whitefield,2,0,1060.0,5,1.0,16000.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Whitefield,2,0,1088.0,5,1.0,14000.0
Whitefield,2,1,1245.0,5,1.0,25000.0
Whitefield,3,0,1704.0,5,6.0,35000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Whitefield,3,1,1760.0,5,6.0,39500.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Bommanahalli,2,0,1400.0,5,2.0,22000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Whitefield,3,0,1600.0,1,6.0,27000.0
Bommanahalli,2,0,1400.0,5,2.0,22000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Whitefield,2,0,1290.0,1,6.0,26000.0
Whitefield,2,0,1333.0,1,3.0,26000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Whitefield,3,0,2100.0,1,6.0,28000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Whitefield,2,0,1568.0,1,3.0,28000.0
Bommanahalli,2,1,767.0,1,3.0,16000.0
Whitefield,3,0,2117.0,1,0.0,33000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Whitefield,3,1,1760.0,5,6.0,39500.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Whitefield,2,0,1568.0,1,3.0,28000.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Whitefield,2,0,1290.0,1,6.0,26000.0
Whitefield,2,0,1568.0,1,3.0,28000.0
Whitefield,3,0,2117.0,1,0.0,33000.0
Whitefield,3,0,1600.0,1,6.0,27000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Whitefield,3,0,1675.0,1,4.0,26000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Whitefield,2,0,1060.0,1,1.0,17000.0
Whitefield,3,0,1704.0,5,6.0,35000.0
Whitefield,3,0,2292.0,5,6.0,39000.0
Whitefield,2,1,1600.0,5,4.0,24000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Whitefield,3,0,2292.0,5,6.0,39000.0
Whitefield,3,1,1768.0,5,6.0,30000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Whitefield,2,0,1333.0,1,3.0,26000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Whitefield,3,0,2200.0,1,6.0,40250.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Whitefield,3,0,2117.0,1,0.0,33000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Whitefield,3,0,1704.0,5,6.0,35000.0
Bommanahalli,3,0,1375.0,5,3.0,19000.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Bommanahalli,2,0,1050.0,10,2.0,18000.0
Bommanahalli,3,0,1375.0,5,3.0,19000.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Bommanahalli,2,0,1050.0,10,2.0,18000.0
Whitefield,2,1,1600.0,5,4.0,24000.0
Whitefield,3,0,2200.0,1,6.0,40250.0
Whitefield,2,1,1245.0,5,1.0,25000.0
Whitefield,3,0,1675.0,1,4.0,26000.0
Whitefield,2,0,1060.0,1,1.0,17000.0
Bommanahalli,2,1,767.0,1,3.0,16000.0
Whitefield,3,0,2292.0,5,6.0,39000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Whitefield,3,1,1768.0,5,6.0,30000.0
Bommanahalli,2,0,1251.0,5,3.0,19500.0
Bommanahalli,2,0,1251.0,5,3.0,19500.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Whitefield,2,0,1568.0,1,3.0,28000.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Whitefield,3,0,1600.0,1,6.0,27000.0
Bommanahalli,2,0,1400.0,5,2.0,22000.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Whitefield,2,0,1088.0,5,1.0,14000.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Bommanahalli,2,1,767.0,1,3.0,16000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Whitefield,2,0,1060.0,1,1.0,17000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Whitefield,2,1,1200.0,5,1.0,20000.0
Whitefield,3,1,1768.0,5,6.0,30000.0
Whitefield,3,1,1768.0,5,6.0,30000.0
Whitefield,3,1,1768.0,5,6.0,30000.0
Bommanahalli,2,1,767.0,1,3.0,16000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Whitefield,3,0,1704.0,5,6.0,35000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Whitefield,3,0,2100.0,1,6.0,28000.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Whitefield,2,0,1000.0,1,3.0,18000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Whitefield,2,0,1060.0,5,1.0,16000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Whitefield,3,0,2117.0,1,0.0,33000.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Bommanahalli,2,0,950.0,5,1.0,14000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,3,1,1381.0,1,4.0,22000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Bommanahalli,3,0,1500.0,10,1.0,22000.0
Bommanahalli,2,1,1200.0,5,4.0,19000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Bommanahalli,2,0,1033.0,5,0.0,16500.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Whitefield,2,0,1568.0,1,3.0,28000.0
Whitefield,2,0,1088.0,5,1.0,14000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Whitefield,2,0,1088.0,5,1.0,14000.0
Whitefield,3,0,1675.0,1,4.0,26000.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Bommanahalli,2,1,1300.0,5,3.0,20000.0
Bommanahalli,2,1,1089.0,5,2.0,15500.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Whitefield,3,1,1870.0,10,3.0,35000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Bommanahalli,3,0,1375.0,5,3.0,19000.0
Bommanahalli,2,0,1089.0,5,2.0,15500.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Whitefield,2,0,1000.0,5,3.0,16400.0
Bommanahalli,3,0,1744.0,1,2.0,22000.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Bommanahalli,3,0,1250.0,1,1.0,20000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Whitefield,2,0,1280.0,5,3.0,23000.0
Bommanahalli,3,0,1375.0,5,3.0,19000.0
Bommanahalli,3,1,1250.0,1,1.0,20000.0
Bommanahalli,2,0,1251.0,5,3.0,19500.0
Whitefield,3,0,1675.0,1,4.0,26000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Bommanahalli,3,0,1744.0,1,2.0,22000.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Whitefield,3,0,2200.0,1,6.0,40250.0
Whitefield,2,0,1088.0,5,1.0,14000.0
Bommanahalli,3,1,1460.0,1,2.0,25000.0
Bommanahalli,2,0,1135.0,10,2.0,16000.0
Whitefield,3,0,1675.0,1,4.0,26000.0
Bommanahalli,2,0,960.0,10,3.0,11000.0
Bommanahalli,3,1,1650.0,10,0.0,18000.0
Whitefield,3,0,1675.0,1,4.0,26000.0
Whitefield,3,0,2200.0,1,6.0,40250.0
Whitefield,2,0,1060.0,5,1.0,16000.0
Whitefield,2,1,1600.0,5,4.0,24000.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Whitefield,3,1,1760.0,5,6.0,39500.0
Bommanahalli,3,1,2491.5,1,3.0,28000.0
Whitefield,2,0,1326.0,1,3.0,21000.0
Bommanahalli,3,1,1471.0,10,3.0,21000.0
Whitefield,3,0,2200.0,1,6.0,40250.0
Bommanahalli,2,0,1251.0,5,3.0,19500.0
Whitefield,3,0,2180.0,1,6.0,35000.0
Bommanahalli,3,0,1744.0,1,2.0,22000.0
